x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Y
-3.024645,3.804057,0.790078,0.820238,0.14438,1.309925,-1.54422,0.428547,-0.020363,-0.18687,1
-1.001818,2.965511,-0.592773,0.091825,0.688013,-0.130153,-1.606322,-0.793221,-0.065366,-2.175473,1
-2.885094,3.860904,0.740887,-0.290436,-1.278183,2.204532,-1.784419,1.220677,-1.751513,0.457708,1
-1.326091,3.246234,-0.219676,0.397334,0.04056,2.304949,-2.55105,0.561605,-0.958938,-1.394602,1
-1.044248,4.000258,0.206964,0.398949,-1.490623,2.072471,-0.594485,0.491651,-0.092346,0.946151,1
-1.143952,6.368576,1.640873,0.558136,-1.348637,0.516217,-3.059723,-0.301759,-0.755856,0.912609,1
-2.330159,4.529523,0.102404,0.774481,0.002184,2.795593,-0.860017,0.800424,-0.145981,0.542593,1
-4.326066,5.8534,-0.745009,0.75187,-1.195534,3.321996,-2.633733,1.422366,-2.044786,-0.567704,1
-2.475878,4.465847,2.533557,0.37396,-3.08804,3.383348,-2.031362,0.466558,0.716369,-0.076679,1
-2.845305,5.294282,-0.098976,-0.053108,-0.26009,1.218021,-2.658837,1.121636,-2.724217,-0.767359,1
-1.801643,6.629801,0.080718,1.673919,-1.170303,2.916228,-2.377975,0.165075,-0.067855,0.557316,1
-1.943013,5.126997,0.223269,-0.548472,-1.634245,2.936395,-2.755735,0.412278,-0.658835,1.251462,1
-1.424776,7.342562,1.471713,0.951675,-3.215465,3.38396,-5.033319,1.097785,-0.392692,0.836531,1
-1.954825,4.564566,0.462884,0.538134,-0.419047,1.566247,-3.00931,1.035883,-0.655204,-0.235354,1
-2.501291,5.836292,1.145906,1.24211,0.247985,3.142331,-2.811821,1.933825,-1.322291,-0.766002,1
-2.420265,4.452195,0.075641,-0.339769,0.95488,1.080075,-1.808137,1.713157,-1.047845,0.428855,1
-1.921031,3.593656,0.768526,-0.52009,-1.305674,1.758392,-1.561838,0.013568,-0.418713,-1.378975,1
-1.516561,3.543243,0.097161,-0.555385,-0.385646,2.018382,-0.327077,1.472533,-0.094396,0.916989,1
-1.918722,4.213271,0.857523,0.430003,-1.465878,1.853274,-3.781143,0.695205,0.556925,-0.500486,1
-2.674008,3.354151,1.008696,0.144807,-0.5901,0.481921,-4.086403,1.519956,-0.682341,-0.982813,1
-2.062855,4.791671,-0.193332,-1.061571,-1.362168,2.323199,-2.756163,0.715997,-1.73073,0.663441,1
-1.698407,5.94521,0.705229,0.747081,-3.073729,2.906843,-3.499029,0.16791,-0.965857,0.937451,1
-2.009199,2.720027,0.645515,-0.206572,0.234557,1.201178,-2.465856,0.918973,-0.228974,-0.435973,1
-2.543182,2.17298,1.469988,0.965642,-0.400335,2.118154,-2.076182,1.527409,-0.290827,-1.070564,1
-1.580801,3.51141,0.608056,1.064882,0.415779,-0.257068,-3.046926,1.633832,-1.692066,-1.032424,1
-3.103826,6.483743,1.506828,0.512674,-0.664654,3.591203,-1.440667,0.872348,-1.159412,-1.726884,1
-0.820134,3.835493,1.205608,1.832662,-0.898739,0.771327,-0.773796,1.622699,1.106988,0.782534,1
-1.483737,4.671959,0.240055,0.678106,-1.716161,3.080289,-1.016692,0.583465,-0.214626,-0.208313,1
-1.465941,4.896757,0.055196,0.164205,-2.63479,0.929838,-3.439569,-0.582958,-0.704569,0.848887,1
-1.90917,5.216458,0.671769,0.467178,-1.494921,2.969607,-2.603618,1.757076,-0.742503,0.759502,1
-0.93817,1.936386,-0.040563,0.315145,-0.329627,0.499119,-0.645284,0.75182,0.383547,-0.252855,1
-2.170516,4.520323,-0.303996,1.046397,-0.362073,3.607046,-0.819543,1.895543,-1.400457,-0.418774,1
-1.435058,4.743873,-0.502066,0.567689,-0.839798,2.059644,-2.496563,-0.038041,-2.208701,-0.733401,1
-1.813168,5.618341,1.882232,1.372974,-1.117021,1.90158,-3.642487,1.03849,0.593772,-0.479264,1
-2.489672,5.365717,-0.711067,-0.677062,-0.843877,2.913359,-1.111308,0.300532,0.759391,1.961073,1
-0.779679,4.875681,-0.281463,-0.422677,-1.269251,1.649704,-3.663202,1.529236,-1.056198,0.782904,1
-2.945375,2.620802,0.754249,0.084319,-0.695685,1.051666,-1.487658,1.620661,-0.046122,-0.197684,1
-2.754652,4.338279,-0.775924,-0.734056,-0.722702,1.59621,-3.289494,0.906101,-1.802944,-0.741942,1
-1.606021,3.913298,0.208669,-0.446211,-1.074227,2.473472,-2.683712,2.508842,-3.448706,-1.047298,1
-1.92872,2.671551,1.054764,-0.858429,-0.038492,1.722463,-2.305194,0.378283,0.114329,-0.378655,1
-3.06664,4.563115,0.359839,0.722113,0.493251,3.115994,-1.89894,2.046495,1.316735,-1.158789,1
-2.399257,4.503537,-1.261845,0.31321,-1.903351,4.058806,-1.483817,1.023951,-1.719736,0.307556,1
-1.42923,5.879732,1.319375,-0.949623,-2.552991,1.376125,-2.976829,-0.235883,-0.785483,0.256133,1
-3.351137,5.380587,0.971226,0.84231,-0.24649,1.4771,-3.568117,2.732668,-1.09811,0.037988,1
-1.096233,3.198004,-0.187919,0.235807,-1.221791,1.227164,-2.236382,0.690712,-0.990703,-0.853405,1
-2.103475,5.756306,-0.515671,1.974882,-1.36098,1.255376,-3.048292,0.812426,-2.324172,0.440871,1
-2.183066,2.787765,-0.470179,0.69946,-0.675916,1.164194,-3.089236,2.041557,-1.352881,-0.929154,1
-1.756689,2.316229,1.29287,0.69756,-0.930479,1.899155,-1.385587,1.546783,0.132236,-0.673839,1
-0.486935,3.102892,-0.563716,0.662548,-0.36584,0.540136,-2.366805,0.915886,-0.440192,0.178327,1
-1.630305,4.453788,0.609209,1.31926,-0.611932,1.609049,-3.415647,1.969012,-1.874076,-0.722012,1
-2.719845,4.272075,1.287981,-1.218683,-3.1319,3.863168,-1.8859,0.951097,-0.32257,0.85585,1
-2.446995,3.809762,0.160885,0.379239,-1.380029,3.17082,-2.163642,1.648441,-1.076259,-0.284145,1
-3.543643,7.937052,-0.506063,1.208829,-1.420197,4.371439,-1.672325,2.131054,-1.787935,1.598041,1
-2.536153,2.162667,0.002177,0.811689,-0.51282,0.987099,-1.204294,2.285509,-1.273816,-0.488352,1
-2.73329,4.893812,1.11253,1.413529,-3.390136,2.414009,-1.264721,0.135966,-1.273115,0.944945,1
-3.179545,2.885028,-1.112562,1.571665,-1.140966,1.866414,-1.526458,0.939401,-1.35132,-1.346585,1
-1.454924,3.37566,0.665369,0.234719,-1.59301,1.171903,-0.702048,-0.848642,0.06188,0.231012,1
-1.433737,5.150661,1.53754,1.358349,-0.750113,2.11272,-2.75298,1.746058,-0.007522,-0.669474,1
-2.195494,3.087639,0.104456,-0.514289,-0.593043,1.405774,-0.734328,0.31338,0.471311,-0.532701,1
-1.945244,4.466931,0.280113,0.449006,-0.483979,1.41856,-1.03686,1.020421,0.036017,-0.489886,1
-2.464046,3.400384,0.375744,-1.34958,0.013013,3.29873,-0.532482,0.959429,-0.105152,-1.117826,1
-2.143796,5.345864,0.988821,0.403507,-0.530225,1.268425,-2.888113,1.32071,-2.111662,-0.247193,1
-3.393899,6.792185,0.217982,2.479949,-1.02281,1.814407,-2.090226,1.06439,0.029644,0.554809,1
-2.711339,3.935538,-0.250872,-0.379279,-0.240308,2.207289,-1.510622,0.508769,-0.26561,-1.079727,1
-2.907165,6.142185,-1.188786,2.112597,-1.641031,3.168918,-1.497072,1.180836,-0.655837,0.751102,1
-1.559367,5.620075,0.94211,1.406508,-0.18479,1.57265,-3.569313,1.264361,-1.058586,-0.996577,1
-0.591477,6.641633,0.555947,1.921363,-1.836331,1.711594,-3.506922,0.550999,-0.216226,0.916846,1
-2.787431,3.750851,1.274007,0.489649,-2.051394,2.009509,-2.3213,0.842744,-0.770019,-0.109372,1
-1.844196,1.601128,1.176046,0.334183,-1.084817,-0.037964,-0.870665,0.044995,-0.765931,-0.797944,1
-1.430465,2.440334,-0.036522,-0.070512,-1.131771,0.566415,-0.225486,1.115008,0.531996,0.810584,1
-2.467618,2.973125,0.805823,-1.025627,-1.486202,1.005595,-1.864451,0.785733,-0.846183,-0.162383,1
-1.546235,5.120979,-1.446346,0.698182,-0.038806,2.3481,-2.005063,0.918446,-1.22211,-0.157101,1
-1.625542,5.590456,0.125596,0.508313,-2.283114,2.066317,-2.69715,-0.476964,0.72749,1.073752,1
-2.882253,4.192045,1.151856,-0.885396,-0.752901,3.095003,-2.616946,1.860124,-1.605095,-0.926794,1
-2.122807,4.076349,-0.592951,0.753517,-1.768939,2.257348,-1.499777,0.382068,-0.801216,-0.004811,1
-0.724878,2.607956,-0.585481,-1.022441,-1.266406,0.04667,-1.460052,-0.108805,-0.37178,0.821144,1
-2.558958,5.086664,0.598983,0.405246,-1.443868,1.157568,-2.708588,0.86601,0.190528,1.228727,1
-1.804026,5.915963,-0.232201,1.233514,-1.554856,3.591045,-4.047443,1.072024,-0.621083,-0.605788,1
-1.994717,4.618727,0.803376,-0.076576,0.130107,0.998155,-2.302392,-0.570435,0.172545,-0.990276,1
-3.030364,2.720768,0.676619,-0.328911,-0.267263,2.670576,-1.170378,1.296151,-0.838981,-0.479594,1
-3.225194,3.52154,0.84863,-0.152834,-1.530646,3.23169,-0.903205,1.521066,0.393709,1.282764,1
-1.621174,3.378624,0.46143,0.183538,0.390061,2.026655,-1.873252,1.197725,-0.234482,-1.208042,1
-2.302699,6.930518,0.953896,1.13015,-1.696229,2.824398,-3.484682,0.138274,-0.115493,0.461876,1
-2.890687,3.521543,1.178055,0.512275,-1.244628,1.930215,-1.891392,2.345237,-1.414927,-0.096361,1
-1.892677,7.092255,2.31586,-0.549836,-1.715726,4.309592,-2.08047,1.52793,-1.810603,0.133105,1
-1.988246,3.006974,0.559449,0.064815,-0.030708,2.634413,-0.131975,1.474798,0.848601,-0.223814,1
-1.676864,4.160534,1.239584,-0.387109,-1.307369,1.570329,-2.52753,0.341317,0.899024,0.229734,1
-1.669456,5.606273,1.170668,1.512124,-0.206572,0.559586,-2.394019,0.123152,1.10792,0.540044,1
-2.866093,4.357372,1.715211,1.274824,-0.365535,1.245889,-2.793139,1.329723,0.419515,-0.929636,1
-3.132891,5.233514,0.929424,-0.790129,0.284764,2.559812,-2.723589,0.342611,-0.209757,-0.886527,1
-2.53298,2.378424,-0.290575,0.367722,-0.505125,1.189224,-0.855408,0.915427,-2.278881,-0.725728,1
-2.632481,5.245906,-0.487504,-1.260543,-1.619329,2.963693,-2.228843,0.658018,-1.027919,1.327828,1
-1.550383,4.897527,0.617692,0.247796,-0.368439,1.516065,-3.024689,0.268819,-0.214847,-0.805674,1
-1.718807,5.201056,1.470917,0.122081,-2.832851,3.228518,-2.967611,0.825199,0.716524,0.298326,1
-2.096211,3.125332,0.790223,0.246741,0.051307,0.983372,-2.352644,0.759254,-0.078102,0.007184,1
-1.695334,4.593808,0.260669,-0.339913,-0.749869,2.404368,-1.688631,1.558858,-0.825913,0.850947,1
-1.096396,3.894166,1.695596,1.045081,-0.626123,1.884972,-1.852617,0.677533,-0.532218,-0.059947,1
-1.551355,5.780574,0.80609,1.11243,0.43962,2.51395,-4.079585,2.870153,0.211321,0.063149,1
-3.477663,6.162712,-0.403812,0.675528,-1.848391,3.058286,-2.942788,0.792616,-1.442356,0.009279,1
-3.510921,5.859359,-0.034837,0.733708,-1.055978,3.262851,-2.545223,0.91517,-0.910809,-0.098352,1
-3.067835,3.89343,1.455694,0.159889,-2.207659,3.71826,-1.286011,1.578727,-0.531658,0.108902,1
-2.072047,3.649078,1.079594,0.508935,-0.254329,0.385169,-2.906718,0.811743,-0.659,-1.593069,1
-2.013589,4.377814,-0.273953,-0.485657,-0.672767,1.369865,-0.580578,0.503513,-1.416846,0.29294,1
-3.637755,3.529109,0.895256,-0.73779,-0.576061,1.684971,-2.75946,0.989053,-0.001163,-1.261425,1
-2.885874,3.76677,0.235575,0.618957,-1.442731,2.773082,-1.077702,1.306647,-0.943548,-0.053515,1
-2.313787,4.87633,-0.161477,0.929755,-0.082985,2.190364,-1.731752,0.94446,-0.670736,-0.100811,1
-1.533091,5.680861,0.832525,-0.30109,-2.184122,1.201682,-3.193695,-0.14465,-0.572906,0.411075,1
